versao;tipo;cnpj;passivoTotal;periodo;ativoTotal;ativoCirc;caixa;aplicacoesFin;disponivel;contasReceber;estoques;ativoLP;passivoCirc;passivoLP;dividaBruta;dividaLiq;patLiq;receitaBruta;cmv;lucroBruto;despesasOper;lucroOper;receitasDespesasFin;impostoRenda;lair;lucroLiq;dividendosPagos;jcp;total_shares;on_shares;pn_shares;ano;trimestre
1.0;1.0;02.800.026/0001-40;25222306000;2023.3T;25222306000;4390949000;206288000;1089821000;1296109000;2039007000;537336000;20831357000;3616049000;8486631000;12102680000;10806571000;13119626000;1270040000;-437783000;832257000;-741341000;90916000;-241249000;33677000.0;-150333000;-116656000;0;0;1876606210;1876606210;0;2023;3
1.0;1.0;33.611.500/0001-19;76410383000;2023.3T;76410383000;30891754000;2914529000;3088139000;6002668000;5738421000;15815393000;45518629000;10534158000;15088725000;25622883000;19620215000;50787500000;17063258000;-14270585000;2792673000;-408533000;2384140000;-477754000;-314321000.0;1906386000;1592065000;0;0;2108480460;720631730;1387848730;2023;3
2.0;1.0;02.558.157/0001-62;119991176000;2023.3T;119991176000;19401285000;4555518000;1116000;4556634000;9076483000;888354000;100589891000;21043753000;29621436000;50665189000;46108555000;69325987000;13111806000;-7452348000;5659458000;-3541446000;2118012000;-569896000;-71508000.0;1548116000;1476608000;0;0;1652588360;1652588360;0;2023;3
1.0;1.0;60.840.055/0001-31;11533043000;2023.3T;11533043000;2838559000;14117000;962521000;976638000;1558622000;135196000;8694484000;1918079000;4423019000;6341098000;5364460000;5191945000;1870045000;-1342480000;527565000;-209586000;317979000;-102906000;-43257000.0;215073000;171816000;0;0;547191026;547191026;0;2023;3
1.0;1.0;08.312.229/0001-73;5838676000;2023.3T;5838676000;2609601000;51500000;736454000;787954000;268262000;1520718000;3229075000;503128000;671173000;1174301000;386347000;4664375000;251727000;-170402000;81325000;-50139000;31186000;13724000;-6435000.0;44910000;38475000;0;0;220989103;220989103;0;2023;3
2.0;1.0;07.526.557/0001-00;137914205000;2023.3T;137914205000;37552669000;17413906000;227164000;17641070000;5523513000;10818947000;100361536000;33845767000;12507260000;46353027000;28711957000;91561178000;20317765000;-10223018000;10094747000;-5197169000;4897578000;-837896000;-44678000.0;4059682000;4015004000;0;0;15757657336;15757657336;0;2023;3
1.0;1.0;33.000.167/0001-01;1025496000000;2023.3T;1025496000000;147311000000;60642000000;6505000000;67147000000;25502000000;39510000000;878185000000;154571000000;483435000000;638006000000;570859000000;387490000000;124828000000;-58513000000;66315000000;-18769000000;47546000000;-9760000000;-11026000000.0;37786000000;26760000000;0;0;13044496930;7442454142;5602042788;2023;3
1.0;1.0;67.620.377/0001-14;25906758000;2023.3T;25906758000;15167947000;3425951000;7031343000;10457294000;1927749000;1418840000;10738811000;8124410000;16670103000;24794513000;14337219000;1112245000;7067636000;-5590113000;1477523000;-902834000;574689000;-535866000;102204000.0;38823000;141027000;0;0;607283407;607283407;0;2023;3
1.0;1.0;92.690.783/0001-09;77423566000;2023.3T;77423566000;31899949000;2914569000;4065304000;6979873000;5738421000;15815393000;45523617000;10545529000;15087061000;25632590000;18652717000;51790976000;17063258000;-14270585000;2792673000;-411795000;2380878000;-447267000;-320560000.0;1933611000;1613051000;0;0;1032705804;365111201;667594603;2023;3
1.0;1.0;89.637.490/0001-45;51693682000;2023.3T;51693682000;13576633000;5926913000;1926214000;7853127000;2395415000;2663739000;38117049000;6290335000;31806038000;38096373000;30243246000;13597309000;4400407000;-3096835000;1303572000;-668893000;634679000;-324831000;-65268000.0;309848000;244580000;0;0;6179682031;2289901455;3889780576;2023;3
